,Date
929,2013-11-08
930,2013-11-11
931,2013-11-12
932,2013-11-13
933,2013-11-14
934,2013-11-15
935,2013-11-18
936,2013-11-19
937,2013-11-20
938,2013-11-21
939,2013-11-22
940,2013-11-25
941,2013-11-26
942,2013-11-27
943,2013-11-28
944,2013-11-29
945,2013-12-02
946,2013-12-03
947,2013-12-04
948,2013-12-05
949,2013-12-06
950,2013-12-09
951,2013-12-10
952,2013-12-11
953,2013-12-12
954,2013-12-13
955,2013-12-16
956,2013-12-17
957,2013-12-18
958,2013-12-19
959,2013-12-20
960,2013-12-23
961,2013-12-24
962,2013-12-25
963,2013-12-26
964,2013-12-27
965,2013-12-30
966,2013-12-31
967,2014-01-02
968,2014-01-03
969,2014-01-06
970,2014-01-07
971,2014-01-08
972,2014-01-09
973,2014-01-10
974,2014-01-13
975,2014-01-14
976,2014-01-15
977,2014-01-16
978,2014-01-17
979,2014-01-20
980,2014-01-21
981,2014-01-22
982,2014-01-23
983,2014-01-24
984,2014-01-27
985,2014-01-28
986,2014-01-29
987,2014-01-30
988,2014-02-07
989,2014-02-10
990,2014-02-11
991,2014-02-12
992,2014-02-13
993,2014-02-14
994,2014-02-17
995,2014-02-18
996,2014-02-19
997,2014-02-20
998,2014-02-21
999,2014-02-24
1000,2014-02-25
1001,2014-02-26
1002,2014-02-27
1003,2014-02-28
1004,2014-03-03
1005,2014-03-04
1006,2014-03-05
1007,2014-03-06
1008,2014-03-07
1009,2014-03-10
1010,2014-03-11
1011,2014-03-12
1012,2014-03-13
1013,2014-03-14
1014,2014-03-17
1015,2014-03-18
1016,2014-03-19
1017,2014-03-20
1018,2014-03-21
1019,2014-03-24
1020,2014-03-25
1021,2014-03-26
1022,2014-03-27
1023,2014-03-28
1024,2014-03-31
1025,2014-04-01
1026,2014-04-02
1027,2014-04-03
1028,2014-04-04
1029,2014-04-08
1030,2014-04-09
1031,2014-04-10
1032,2014-04-11
1033,2014-04-14
1034,2014-04-15
1035,2014-04-16
1036,2014-04-17
1037,2014-04-18
1038,2014-04-21
1039,2014-04-22
1040,2014-04-23
1041,2014-04-24
1042,2014-04-25
1043,2014-04-28
1044,2014-04-29
1045,2014-04-30
1046,2014-05-05
1047,2014-05-06
1048,2014-05-07
1049,2014-05-08
1050,2014-05-09
1051,2014-05-12
1052,2014-05-13
1053,2014-05-14
1054,2014-05-15
1055,2014-05-16
1056,2014-05-19
1057,2014-05-20
1058,2014-05-21
1059,2014-05-22
1060,2014-05-23
1061,2014-05-26
1062,2014-05-27
1063,2014-05-28
1064,2014-05-29
1065,2014-05-30
1066,2014-06-03
1067,2014-06-04
1068,2014-06-05
1069,2014-06-06
1070,2014-06-09
1071,2014-06-10
1072,2014-06-11
1073,2014-06-12
1074,2014-06-13
1075,2014-06-16
1076,2014-06-17
1077,2014-06-18
1078,2014-06-19
1079,2014-06-20
1080,2014-06-23
1081,2014-06-24
1082,2014-06-25
1083,2014-06-26
1084,2014-06-27
1085,2014-06-30
1086,2014-07-01
1087,2014-07-02
1088,2014-07-03
1089,2014-07-04
1090,2014-07-07
1091,2014-07-08
1092,2014-07-09
1093,2014-07-10
1094,2014-07-11
1095,2014-07-14
1096,2014-07-15
1097,2014-07-16
1098,2014-07-17
1099,2014-07-18
1100,2014-07-21
1101,2014-07-22
1102,2014-07-23
1103,2014-07-24
1104,2014-07-25
1105,2014-07-28
1106,2014-07-29
1107,2014-07-30
1108,2014-07-31
1109,2014-08-01
1110,2014-08-04
1111,2014-08-05
1112,2014-08-06
1113,2014-08-07
1114,2014-08-08
1115,2014-08-11
1116,2014-08-12
1117,2014-08-13
1118,2014-08-14
1119,2014-08-15
1120,2014-08-18
1121,2014-08-19
1122,2014-08-20
1123,2014-08-21
1124,2014-08-22
1125,2014-08-25
1126,2014-08-26
1127,2014-08-27
1128,2014-08-28
1129,2014-08-29
1130,2014-09-01
1131,2014-09-02
1132,2014-09-03
1133,2014-09-04
1134,2014-09-05
1135,2014-09-09
1136,2014-09-10
1137,2014-09-11
1138,2014-09-12
1139,2014-09-15
1140,2014-09-16
1141,2014-09-17
1142,2014-09-18
1143,2014-09-19
1144,2014-09-22
1145,2014-09-23
1146,2014-09-24
1147,2014-09-25
1148,2014-09-26
1149,2014-09-29
1150,2014-09-30
1151,2014-10-08
1152,2014-10-09
1153,2014-10-10
1154,2014-10-13
1155,2014-10-14
1156,2014-10-15
1157,2014-10-16
1158,2014-10-17
1159,2014-10-20
1160,2014-10-21
1161,2014-10-22
1162,2014-10-23
1163,2014-10-24
1164,2014-10-27
1165,2014-10-28
1166,2014-10-29
1167,2014-10-30
1168,2014-10-31
1169,2014-11-03
1170,2014-11-04
1171,2014-11-05
1172,2014-11-06
1173,2014-11-07
1174,2014-11-10
1175,2014-11-11
1176,2014-11-12
1177,2014-11-13
1178,2014-11-14
1179,2014-11-17
1180,2014-11-18
1181,2014-11-19
1182,2014-11-20
1183,2014-11-21
1184,2014-11-24
1185,2014-11-25
1186,2014-11-26
1187,2014-11-27
1188,2014-11-28
1189,2014-12-01
1190,2014-12-02
1191,2014-12-03
1192,2014-12-04
1193,2014-12-05
1194,2014-12-08
1195,2014-12-09
1196,2014-12-10
1197,2014-12-11
1198,2014-12-12
1199,2014-12-15
1200,2014-12-16
1201,2014-12-17
1202,2014-12-18
1203,2014-12-19
1204,2014-12-22
1205,2014-12-23
1206,2014-12-24
1207,2014-12-25
1208,2014-12-26
1209,2014-12-29
1210,2014-12-30
1211,2014-12-31
1212,2015-01-05
1213,2015-01-06
1214,2015-01-07
1215,2015-01-08
1216,2015-01-09
1217,2015-01-12
1218,2015-01-13
1219,2015-01-14
1220,2015-01-15
1221,2015-01-16
1222,2015-01-19
1223,2015-01-20
1224,2015-01-21
1225,2015-01-22
1226,2015-01-23
1227,2015-01-26
1228,2015-01-27
1229,2015-01-28
1230,2015-01-29
1231,2015-01-30
1232,2015-02-02
1233,2015-02-03
1234,2015-02-04
1235,2015-02-05
1236,2015-02-06
1237,2015-02-09
1238,2015-02-10
1239,2015-02-11
1240,2015-02-12
1241,2015-02-13
1242,2015-02-16
1243,2015-02-17
1244,2015-02-25
1245,2015-02-26
1246,2015-02-27
1247,2015-03-02
1248,2015-03-03
1249,2015-03-04
1250,2015-03-05
1251,2015-03-06
1252,2015-03-09
1253,2015-03-10
1254,2015-03-11
1255,2015-03-12
1256,2015-03-13
1257,2015-03-16
1258,2015-03-17
1259,2015-03-18
1260,2015-03-19
1261,2015-03-20
1262,2015-03-23
1263,2015-03-24
1264,2015-03-25
1265,2015-03-26
1266,2015-03-27
1267,2015-03-30
1268,2015-03-31
1269,2015-04-01
1270,2015-04-02
1271,2015-04-03
1272,2015-04-07
1273,2015-04-08
1274,2015-04-09
1275,2015-04-10
1276,2015-04-13
1277,2015-04-14
1278,2015-04-15
1279,2015-04-16
1280,2015-04-17
1281,2015-04-20
1282,2015-04-21
1283,2015-04-22
1284,2015-04-23
1285,2015-04-24
1286,2015-04-27
1287,2015-04-28
1288,2015-04-29
1289,2015-04-30
1290,2015-05-04
1291,2015-05-05
1292,2015-05-06
1293,2015-05-07
1294,2015-05-08
1295,2015-05-11
1296,2015-05-12
1297,2015-05-13
1298,2015-05-14
1299,2015-05-15
1300,2015-05-18
1301,2015-05-19
1302,2015-05-20
1303,2015-05-21
1304,2015-05-22
1305,2015-05-25
1306,2015-05-26
1307,2015-05-27
1308,2015-05-28
1309,2015-05-29
1310,2015-06-01
1311,2015-06-02
1312,2015-06-03
1313,2015-06-04
1314,2015-06-05
1315,2015-06-08
1316,2015-06-09
1317,2015-06-10
1318,2015-06-11
1319,2015-06-12
1320,2015-06-15
1321,2015-06-16
1322,2015-06-17
1323,2015-06-18
1324,2015-06-19
1325,2015-06-23
1326,2015-06-24
1327,2015-06-25
1328,2015-06-26
1329,2015-06-29
1330,2015-06-30
1331,2015-07-01
1332,2015-07-02
1333,2015-07-03
1334,2015-07-06
1335,2015-07-07
1336,2015-07-08
1337,2015-07-09
1338,2015-07-10
1339,2015-07-13
1340,2015-07-14
1341,2015-07-15
1342,2015-07-16
1343,2015-07-17
1344,2015-07-20
1345,2015-07-21
1346,2015-07-22
1347,2015-07-23
1348,2015-07-24
1349,2015-07-27
1350,2015-07-28
1351,2015-07-29
1352,2015-07-30
1353,2015-07-31
1354,2015-08-03
1355,2015-08-04
1356,2015-08-05
1357,2015-08-06
1358,2015-08-07
1359,2015-08-10
1360,2015-08-11
1361,2015-08-12
1362,2015-08-13
1363,2015-08-14
1364,2015-08-17
1365,2015-08-18
1366,2015-08-19
1367,2015-08-20
1368,2015-08-21
1369,2015-08-24
1370,2015-08-25
1371,2015-08-26
1372,2015-08-27
1373,2015-08-28
1374,2015-08-31
1375,2015-09-01
1376,2015-09-02
1377,2015-09-07
1378,2015-09-08
1379,2015-09-09
1380,2015-09-10
1381,2015-09-11
1382,2015-09-14
1383,2015-09-15
1384,2015-09-16
1385,2015-09-17
1386,2015-09-18
1387,2015-09-21
1388,2015-09-22
1389,2015-09-23
1390,2015-09-24
1391,2015-09-25
1392,2015-09-28
1393,2015-09-29
1394,2015-09-30
1395,2015-10-08
1396,2015-10-09
1397,2015-10-12
1398,2015-10-13
1399,2015-10-14
1400,2015-10-15
1401,2015-10-16
1402,2015-10-19
1403,2015-10-20
1404,2015-10-21
1405,2015-10-22
1406,2015-10-23
1407,2015-10-26
1408,2015-10-27
1409,2015-10-28
1410,2015-10-29
1411,2015-10-30
1412,2015-11-02
1413,2015-11-03
1414,2015-11-04
1415,2015-11-05
1416,2015-11-06
1417,2015-11-09
1418,2015-11-10
1419,2015-11-11
1420,2015-11-12
1421,2015-11-13
1422,2015-11-16
1423,2015-11-17
1424,2015-11-18
1425,2015-11-19
1426,2015-11-20
1427,2015-11-23
1428,2015-11-24
1429,2015-11-25
1430,2015-11-26
1431,2015-11-27
1432,2015-11-30
1433,2015-12-01
1434,2015-12-02
1435,2015-12-03
1436,2015-12-04
1437,2015-12-07
1438,2015-12-08
1439,2015-12-09
1440,2015-12-10
1441,2015-12-11
1442,2015-12-14
1443,2015-12-15
1444,2015-12-16
1445,2015-12-17
1446,2015-12-18
1447,2015-12-21
1448,2015-12-22
1449,2015-12-23
1450,2015-12-24
1451,2015-12-25
1452,2015-12-28
1453,2015-12-29
1454,2015-12-30
1455,2015-12-31
1456,2016-01-04
1457,2016-01-05
1458,2016-01-06
1459,2016-01-07
1460,2016-01-08
1461,2016-01-11
1462,2016-01-12
1463,2016-01-13
1464,2016-01-14
1465,2016-01-15
1466,2016-01-18
1467,2016-01-19
1468,2016-01-20
1469,2016-01-21
1470,2016-01-22
1471,2016-01-25
1472,2016-01-26
1473,2016-01-27
1474,2016-01-28
1475,2016-01-29
1476,2016-02-01
1477,2016-02-02
1478,2016-02-03
1479,2016-02-04
1480,2016-02-05
1481,2016-02-15
1482,2016-02-16
1483,2016-02-17
1484,2016-02-18
1485,2016-02-19
1486,2016-02-22
1487,2016-02-23
1488,2016-02-24
1489,2016-02-25
1490,2016-02-26
1491,2016-02-29
1492,2016-03-01
1493,2016-03-02
1494,2016-03-03
1495,2016-03-04
1496,2016-03-07
1497,2016-03-08
1498,2016-03-09
