,801140.SI,801110.SI,801750.SI,801890.SI,801200.SI,801120.SI,801050.SI,801760.SI,801770.SI,801160.SI,801150.SI,801780.SI,801790.SI,801020.SI,801030.SI,801080.SI,801230.SI,801130.SI,801210.SI,801710.SI,801740.SI,801180.SI,801170.SI,801040.SI,801730.SI,801880.SI,801720.SI,801010.SI
2017-05-04,-0.4015384615384643,-0.003957241149121771,0.31324233090483933,-0.24130876755189545,-0.7252695243963103,-0.2589183675977158,-1.6296888496297512,-0.5124913964692945,-0.5771383953563802,0.30812380914311266,-0.25707678896735864,-0.45732815428426443,-0.5505950568257978,-0.7560651632899096,-0.6031062022949008,-0.14471780028944004,-0.3242576826426147,-0.36648033644501865,-0.17902794040685066,0.8820661255572126,-2.341337630942786,-0.182393840263384,-0.5200051720944621,0.5070599497427386,0.06948946733100758,-0.5297011693043863,0.8595827835486736,-0.728659504657081
2017-05-05,-0.7723319791779315,0.2964607099227523,-1.286446873165914,-1.3961195621809641,-0.9575553241063739,-0.5162240979322719,-1.4250924249872843,-0.7507268868674366,-1.2647020689399602,-1.4226461084784314,-0.831700111730671,-0.03937057874749961,-1.4318785904141262,-2.1796319486537374,-1.4617680432523206,-0.872113393852525,-1.757823592889196,-0.6016753868245517,-1.1330483110828626,-1.7958254466085566,-3.241733941502256,-0.8156331800420635,-0.9808088862971354,-1.0789493265867978,-1.200903451657831,-1.0658098316457032,-1.0995636280624388,-1.3184155024605682
2017-05-08,-1.944924422858385,-2.1162677792397777,-0.8737052817159974,-2.0024596127719563,-1.1528471008616537,-1.6966511573761611,-1.2952158020363758,0.1582516955538793,-1.2043627195335582,-2.22371944954437,-1.167443511117039,0.10672358591248265,0.21063226960928993,-1.29716128017614,-1.4563576543448642,-2.3186766577124263,-2.7666168842639505,-1.1207733086213922,-0.6428316639421117,-3.945867160861849,-5.060648647173583,-1.982966715397949,-1.6046347442624453,-1.9170302392056637,-2.346767239817682,-1.63684082173009,-2.1294728992317657,-2.7682864242882688
2017-05-09,0.42070437024523955,-0.6276102962439856,0.3469118362242618,0.6333812968547736,-0.15354614829486968,-0.16125516992891997,0.8554347413398,0.7486268903769577,0.8563692223559904,0.9240501095630016,-0.13135201806890873,0.09804294852269191,-0.06386289937563294,0.6921584061236219,0.5495818399044117,1.5371912788326059,0.6887075090589168,0.24865809827043783,0.13112601344282826,0.3946266238224583,1.3121209508206055,0.21071982934293132,0.2606833292470023,-0.060970231955304044,0.2149955201537379,-0.2998766255615237,-0.1363658353692565,-0.19133472464814005
2017-05-10,-1.6270753431370966,-0.521344065919338,-1.129912210252293,-1.802001788943819,-1.9640193414164342,-0.5160928866248748,-2.3962725293054765,-1.5057316754415573,-1.5423080398831224,-2.3835371390726667,-1.1984259798863306,0.3401198819565243,1.0305248790172472,-1.3175176360005425,-1.7435803948122275,-0.6291529113710781,-1.8620458884740843,-1.6711312006396084,-1.161332627752354,-2.5412267578542425,-3.588907014681897,-1.6607968017168129,-1.8880070197899057,-2.0025016882558644,-2.2380793721308967,-1.4596840245912124,-2.2859599669368458,-1.803594664365793
2017-05-11,-0.6119687458819079,1.8264662080703653,-1.0550591486699679,-0.28722831326501996,-1.0460527642638828,0.23427105173370322,-0.39519007396463524,-0.8141331235605676,-0.06769160165213117,0.3283859776739506,-0.1370433803853488,0.7622808403095815,-0.020265166634947374,-0.5791988711074003,-0.2269504485998719,-0.09943695859836454,-1.7148587665051007,-0.7093924066841728,-0.9916605075858564,0.5991101941713595,0.5112925770617283,0.3055628273691102,0.2837025009071903,-0.5661596288248139,-0.34024489301313077,-0.029041296723952836,1.029352982551801,-0.37556423211286827
2017-05-12,-0.14132195858651553,-0.03865292804635656,-0.44445283232521504,-0.15803055257350707,0.22283567454213227,-0.017083201518508506,-0.007744525960551307,-0.5226847074112362,-0.2342108586583569,0.5901360484936502,0.3485651659714817,2.7100321980919384,1.5201955677853762,0.13354666391400816,-0.013282726146701673,-0.203967078081857,-0.1591728453846586,-0.34949252653434515,0.32269630692005613,-0.24309981915745515,-0.974199451052149,0.2190981665058267,0.9247245015442607,-0.37762000952910046,-0.32848740006689026,0.3021172246886916,-0.10581231655364398,0.3904944128713783
2017-05-15,-0.13115879605941627,0.041803107364324354,1.804231199408557,0.21705157145337495,0.39564809688972247,1.4210589597716927,0.12451779144759811,0.1315979059603345,0.43691573548763074,0.39816200931470647,0.7723336870327335,-0.05341766201576448,0.0459817404088847,0.9454992944996965,0.10527958871215937,1.1481473003332354,1.5073990298141382,0.38339588456062224,0.9407578402996775,0.6069579901858857,-0.34295681996245886,0.47991176451278594,0.1126301493888704,-0.04861660079051866,-0.039266292175510475,-0.05752498741641299,-0.9864785203743343,0.2855320957914076
2017-05-16,1.9962319338740153,1.2814262831673418,1.8774643756604537,1.777967332849073,1.5504730867220706,2.277551560318125,2.4578043693638696,1.4408779570614483,2.2060115342015685,2.4896022089912817,1.7931230348992466,-0.5848542598157813,0.4269498485114376,1.1922655918404912,2.0585893437728098,3.0720188291282424,1.9484725331149644,1.3156495254056821,1.0571712156888458,2.5751296687257286,1.7496106207817386,1.0144788653866144,2.1419062640177122,1.7660759974216678,1.9894473291292902,1.9515792503057794,0.4654393455941541,1.3617769864987972
2017-05-17,0.22095969631554802,-1.4283504091315402,-0.32534590850102907,0.5532747975145247,0.2362562471603713,-0.8848283418375513,0.004065347558190879,1.2426236949613978,0.22719968909516997,0.20340946594912257,-0.23702108842820202,-0.8186976409834235,-0.6798542739288926,0.6111848723859836,0.11605038602193751,-0.48524199366393184,0.07176175098673188,0.5990195548231769,0.07983688004364886,0.5620632702324935,0.9548870536267406,0.016817231193799742,-0.058082498397427074,0.8137000034972752,0.4709731700476727,0.39539018561971506,0.37500925948790176,0.26799934481305243
2017-05-18,-0.6557075423814895,-0.6520628310234589,-0.5352263766893572,-0.7390670174250658,-0.3544335144194499,0.11780752441705733,-0.9239578614818167,-0.37549739393599735,-0.322503672440666,-0.8674405630129556,-0.21120062476337464,-0.5507167370807697,-0.648736479604195,0.27113692571474335,-0.6055548700898084,-0.7504814617525501,-0.5865112285814988,-0.7769661322455268,-0.33822302824391137,-1.7571166509164682,-1.1805139387287888,-0.16749732694099073,-0.5556480848213807,-0.8479900708071697,-0.5817231734618011,-0.614082702979224,-1.171561497753748,-0.5554203885857256
2017-05-19,-0.31516931968770256,1.2961844710640547,0.0,-0.08528113253343239,0.35170014289898077,1.1956242415151142,-0.4698041652256957,-0.39941494149414725,-0.4245387115717647,0.3814063554164804,0.08658912863575008,0.024604919738147046,0.09275871748868347,1.6361772098083094,-0.2551312080021684,-0.5602098563906588,0.044007967758386,-0.026452244138275294,-0.3343801107178246,-0.119339108248806,-0.16439677343932368,0.1245921604107858,-0.09336302895323056,0.655037961102023,0.09564935806365416,-0.23202311979741985,-1.005609884348635,-0.33238731685493184
2017-05-22,-1.7896840904868538,0.567189319580752,-1.2149453021116363,-1.937534059498247,-1.5097743961897336,-0.31068390555306635,-1.131615445093248,-1.25482443754118,-1.464235539828862,-1.3448795282451798,-0.5716542442818162,0.287401954831501,0.7121169627723578,-0.7812355825126294,-1.5815364057955805,-1.2797092469931326,-2.4048208869823506,-1.5069017182568811,-0.9803128526911564,-2.128010217745091,-1.9511266915009706,-1.3015217128759082,-1.3368383131868389,0.44144568634569836,-1.8404724415338691,-1.0889685321570641,-1.5614539625666057,-1.0927160446204232
2017-05-23,-2.254795476710003,-0.3299852325146513,-2.70449333616386,-2.8562628886686703,-2.24616938878599,0.8462264127946817,-2.159876101977598,-1.9828975089850043,-2.1325424297412354,-2.304316270917206,-1.0462649430837634,1.851426371415421,0.3202450570871651,-2.179883813928696,-2.300112809352206,-2.282351647142944,-3.3939948488545535,-2.050730993678862,-2.0372200135373775,-2.8632568582052875,-4.808431549640602,-0.7964549560474765,-1.0548957937928316,-1.3354353719262524,-2.5482366568110537,-1.4720579744768925,-1.9623431897495713,-1.6695917318158338
