Code,TotalShares,Industry,IndCode
sh600330,830471442.0,有色金属,801050.SI
sh600331,2032000000.0,有色金属,801050.SI
sh600332,1625790949.0,医药生物,801150.SI
sh600333,609030684.0,公用事业,801160.SI
sh600335,1029736837.0,汽车,801880.SI
sh600336,776753269.0,家用电器,801110.SI
sh600337,1806100763.0,轻工制造,801140.SI
sh600338,653007263.0,有色金属,801050.SI
sh600339,5583147471.0,采掘,801020.SI
sh600340,2954946709.0,房地产,801180.SI
sh600343,638206348.0,国防军工,801740.SI
sh600345,198000000.0,通信,801770.SI
sh600346,2825686942.0,化工,801030.SI
sh600348,2405000000.0,采掘,801020.SI
sh600350,4811165857.0,交通运输,801170.SI
sh600351,787041461.0,医药生物,801150.SI
sh600352,3253331860.0,化工,801030.SI
sh600353,543720000.0,电气设备,801730.SI
sh600354,527802080.0,农林牧渔,801010.SI
sh600355,492089200.0,通信,801770.SI
sh600356,298731378.0,轻工制造,801140.SI
sh600358,504936660.0,休闲服务,801210.SI
sh600359,381512820.0,农林牧渔,801010.SI
sh600360,738278000.0,电子,801080.SI
sh600361,665807918.0,商业贸易,801200.SI
sh600362,3462729405.0,有色金属,801050.SI
sh600363,443476750.0,电子,801080.SI
sh600365,400000000.0,食品饮料,801120.SI
sh600366,557071925.0,有色金属,801050.SI
sh600367,291200000.0,化工,801030.SI
sh600368,833801532.0,交通运输,801170.SI
sh600369,5645109124.0,非银金融,801790.SI
sh600370,797244230.0,纺织服装,801130.SI
sh600371,225060000.0,农林牧渔,801010.SI
sh600372,1759162938.0,国防军工,801740.SI
sh600373,1377940025.0,传媒,801760.SI
sh600375,555740597.0,机械设备,801890.SI
sh600376,2579565242.0,房地产,801180.SI
sh600377,5037747500.0,交通运输,801170.SI
sh600378,297193292.0,化工,801030.SI
sh600379,235858260.0,电气设备,801730.SI
sh600380,1573778272.0,医药生物,801150.SI
sh600381,630753981.0,食品饮料,801120.SI
sh600382,466824742.0,机械设备,801890.SI
sh600383,4513631772.0,房地产,801180.SI
sh600385,148107148.0,有色金属,801050.SI
sh600386,806400000.0,传媒,801760.SI
sh600387,386100000.0,化工,801030.SI
sh600388,1069050000.0,机械设备,801890.SI
sh600389,297000000.0,化工,801030.SI
sh600390,3748387882.0,非银金融,801790.SI
sh600391,330129367.0,国防军工,801740.SI
sh600392,1350128513.0,有色金属,801050.SI
sh600393,2536247870.0,房地产,801180.SI
sh600395,1655051861.0,采掘,801020.SI
sh600396,1472706817.0,公用事业,801160.SI
sh600397,989959882.0,采掘,801020.SI
sh600398,4492757924.0,纺织服装,801130.SI
sh600399,1300000000.0,钢铁,801040.SI
sh600400,1809469223.0,纺织服装,801130.SI
sh600401,4724935152.0,电气设备,801730.SI
sh600403,2390812402.0,采掘,801020.SI
sh600405,562600448.0,电气设备,801730.SI
sh600406,2428953351.0,电气设备,801730.SI
sh600408,1006800000.0,采掘,801020.SI
sh600409,2064349448.0,化工,801030.SI
sh600410,1102840583.0,计算机,801750.SI
sh600415,5443214176.0,商业贸易,801200.SI
sh600416,945834325.0,电气设备,801730.SI
sh600418,1893312117.0,汽车,801880.SI
sh600419,103557209.0,综合,801230.SI
sh600420,1110458928.0,医药生物,801150.SI
sh600421,195600000.0,综合,801230.SI
sh600422,788688620.0,医药生物,801150.SI
sh600423,399347513.0,化工,801030.SI
sh600425,1378790086.0,建筑材料,801710.SI
sh600426,1620481850.0,化工,801030.SI
sh600428,2146650771.0,交通运输,801170.SI
sh600429,1497557426.0,食品饮料,801120.SI
sh600432,1603723916.0,有色金属,801050.SI
sh600433,1271315443.0,轻工制造,801140.SI
sh600435,1489320000.0,国防军工,801740.SI
sh600436,603317210.0,医药生物,801150.SI
sh600438,3882372220.0,农林牧渔,801010.SI
sh600439,1131985440.0,轻工制造,801140.SI
sh600444,146421932.0,机械设备,801890.SI
sh600446,835009500.0,计算机,801750.SI
sh600448,422364101.0,纺织服装,801130.SI
sh600449,478181042.0,建筑材料,801710.SI
sh600452,160000000.0,公用事业,801160.SI
sh600455,62458000.0,综合,801230.SI
sh600456,430265700.0,有色金属,801050.SI
sh600458,802798152.0,化工,801030.SI
sh600459,260977742.0,有色金属,801050.SI
sh600460,1247168000.0,电子,801080.SI
sh600461,789593625.0,公用事业,801160.SI
sh600462,533780000.0,通信,801770.SI
sh600463,300000000.0,房地产,801180.SI
sh600466,2134297139.0,房地产,801180.SI
sh600467,1460994304.0,农林牧渔,801010.SI
sh600468,811113518.0,电气设备,801730.SI
sh600469,562413222.0,化工,801030.SI
sh600470,521600000.0,化工,801030.SI
sh600475,559392211.0,电气设备,801730.SI
sh600476,161070000.0,计算机,801750.SI
sh600477,1374420616.0,建筑装饰,801720.SI
sh600478,1391070330.0,电子,801080.SI
sh600479,348755931.0,医药生物,801150.SI
sh600480,450934166.0,汽车,801880.SI
sh600481,1620495808.0,机械设备,801890.SI
sh600482,1739190872.0,电气设备,801730.SI
sh600483,1551825574.0,公用事业,801160.SI
sh600485,2923742782.0,通信,801770.SI
sh600486,309898907.0,化工,801030.SI
sh600487,1359775587.0,通信,801770.SI
sh600488,1091886680.0,医药生物,801150.SI
sh600489,3451137189.0,有色金属,801050.SI
sh600490,1891366862.0,有色金属,801050.SI
sh600491,1262100000.0,建筑装饰,801720.SI
sh600493,272000000.0,纺织服装,801130.SI
sh600495,1208190886.0,机械设备,801890.SI
sh600496,1510445200.0,建筑装饰,801720.SI
sh600497,4309898186.0,有色金属,801050.SI
sh600498,1114247315.0,通信,801770.SI
sh600499,1411464322.0,机械设备,801890.SI
sh600500,2083012671.0,化工,801030.SI
sh600501,421283600.0,机械设备,801890.SI
sh600502,1434300227.0,建筑装饰,801720.SI
sh600503,1602290000.0,房地产,801180.SI
sh600505,364567500.0,公用事业,801160.SI
sh600506,147706873.0,农林牧渔,801010.SI
sh600507,1326092985.0,钢铁,801040.SI
sh600508,722718000.0,采掘,801020.SI
sh600509,905696586.0,公用事业,801160.SI
sh600510,1047095025.0,纺织服装,801130.SI
sh600511,766933698.0,医药生物,801150.SI
sh600512,1598902832.0,建筑装饰,801720.SI
sh600513,285456270.0,医药生物,801150.SI
sh600515,3907592460.0,房地产,801180.SI
sh600516,1788794378.0,有色金属,801050.SI
sh600517,1356167823.0,电气设备,801730.SI
sh600518,4946743675.0,医药生物,801150.SI
sh600519,1256197800.0,食品饮料,801120.SI
sh600520,158430000.0,机械设备,801890.SI
sh600521,1042490332.0,医药生物,801150.SI
sh600522,3066072521.0,通信,801770.SI
sh600523,288793800.0,汽车,801880.SI
sh600525,1317311352.0,电气设备,801730.SI
sh600526,547404672.0,机械设备,801890.SI
sh600527,802089390.0,化工,801030.SI
sh600528,2221551588.0,建筑装饰,801720.SI
sh600529,303554973.0,医药生物,801150.SI
sh600530,780000000.0,医药生物,801150.SI
sh600531,1090242634.0,有色金属,801050.SI
sh600532,516065720.0,采掘,801020.SI
sh600533,1050000000.0,房地产,801180.SI
sh600535,1080475878.0,医药生物,801150.SI
sh600536,494562782.0,计算机,801750.SI
sh600537,1176359268.0,电气设备,801730.SI
sh600538,464401185.0,医药生物,801150.SI
sh600539,230000000.0,建筑材料,801710.SI
sh600540,470923313.0,农林牧渔,801010.SI
sh600543,321120000.0,食品饮料,801120.SI
sh600545,1895412995.0,建筑装饰,801720.SI
sh600546,1982456140.0,采掘,801020.SI
sh600547,1857118809.0,有色金属,801050.SI
sh600548,2180770326.0,交通运输,801170.SI
sh600549,1086628700.0,有色金属,801050.SI
sh600550,1534607067.0,电气设备,801730.SI
sh600551,505825296.0,传媒,801760.SI
sh600552,767049572.0,建筑材料,801710.SI
sh600555,1303500000.0,房地产,801180.SI
sh600556,394793708.0,综合,801230.SI
sh600557,616449121.0,医药生物,801150.SI
sh600558,897604831.0,机械设备,801890.SI
sh600559,438060173.0,食品饮料,801120.SI
sh600560,223645500.0,机械设备,801890.SI
sh600561,237064000.0,交通运输,801170.SI
sh600562,478731322.0,国防军工,801740.SI
sh600563,225000000.0,电子,801080.SI
sh600565,2423042984.0,房地产,801180.SI
sh600566,809623999.0,医药生物,801150.SI
sh600567,4551253337.0,轻工制造,801140.SI
sh600568,1992869681.0,房地产,801180.SI
sh600569,2393684489.0,钢铁,801040.SI
sh600570,617805180.0,计算机,801750.SI
sh600571,439679218.0,计算机,801750.SI
sh600572,2510730000.0,医药生物,801150.SI
sh600573,250000000.0,食品饮料,801120.SI
sh600575,3886261065.0,交通运输,801170.SI
sh600576,652051627.0,传媒,801760.SI
sh600577,1955324246.0,机械设备,801890.SI
sh600578,6746734457.0,公用事业,801160.SI
sh600579,410636024.0,机械设备,801890.SI
sh600580,1288899586.0,电气设备,801730.SI
sh600581,766448935.0,钢铁,801040.SI
sh600582,4138588892.0,机械设备,801890.SI
sh600583,4421354800.0,采掘,801020.SI
sh600584,1359844003.0,电子,801080.SI
sh600585,5299302579.0,建筑材料,801710.SI
sh600586,1458302100.0,建筑材料,801710.SI
sh600587,406428091.0,医药生物,801150.SI
sh600588,1464217811.0,计算机,801750.SI
sh600589,705305831.0,化工,801030.SI
sh600590,666960584.0,电气设备,801730.SI
sh600592,399553571.0,机械设备,801890.SI
sh600593,92000000.0,休闲服务,801210.SI
sh600594,791927400.0,医药生物,801150.SI
sh600595,1741540403.0,有色金属,801050.SI
sh600596,705414633.0,化工,801030.SI
sh600597,1230636739.0,食品饮料,801120.SI
sh600598,1777679909.0,农林牧渔,801010.SI
sh600599,166000000.0,轻工制造,801140.SI
sh600600,1350982795.0,食品饮料,801120.SI
sh600601,2194891204.0,计算机,801750.SI
sh600602,1367673455.0,计算机,801750.SI
sh600603,878874823.0,综合,801230.SI
sh600604,1873304804.0,房地产,801180.SI
sh600605,147344592.0,商业贸易,801200.SI
sh600606,12168154385.0,房地产,801180.SI
sh600608,328861441.0,钢铁,801040.SI
sh600609,1092667132.0,汽车,801880.SI
sh600610,1071274605.0,建筑装饰,801720.SI
sh600611,2364122864.0,交通运输,801170.SI
sh600612,523117764.0,轻工制造,801140.SI
sh600613,534071628.0,医药生物,801150.SI
sh600614,1752773758.0,有色金属,801050.SI
sh600615,188020508.0,有色金属,801050.SI
sh600616,514619192.0,食品饮料,801120.SI
sh600617,1084663692.0,公用事业,801160.SI
sh600618,1156399976.0,化工,801030.SI
sh600619,866310655.0,家用电器,801110.SI
sh600620,686677113.0,综合,801230.SI
sh600621,1060899292.0,房地产,801180.SI
sh600622,887387812.0,房地产,801180.SI
sh600623,2117430913.0,化工,801030.SI
sh600624,684712010.0,综合,801230.SI
sh600626,710242816.0,纺织服装,801130.SI
sh600628,646875384.0,商业贸易,801200.SI
sh600629,432208132.0,建筑装饰,801720.SI
sh600630,424861597.0,纺织服装,801130.SI
sh600633,1301923953.0,传媒,801760.SI
sh600634,575732081.0,综合,801230.SI
sh600635,2952434675.0,公用事业,801160.SI
sh600636,446941905.0,化工,801030.SI
sh600637,2641735216.0,传媒,801760.SI
sh600638,561163988.0,房地产,801180.SI
sh600639,1122412893.0,房地产,801180.SI
sh600640,795695940.0,传媒,801760.SI
sh600641,806158748.0,房地产,801180.SI
sh600642,4552038316.0,公用事业,801160.SI
sh600643,1437139844.0,非银金融,801790.SI
sh600644,538400659.0,公用事业,801160.SI
sh600645,386081314.0,医药生物,801150.SI
sh600647,139143550.0,房地产,801180.SI
sh600648,1135349124.0,房地产,801180.SI
sh600649,2529575634.0,房地产,801180.SI
sh600650,551610107.0,交通运输,801170.SI
sh600651,991584021.0,电子,801080.SI
sh600652,832703498.0,传媒,801760.SI
sh600653,1946380317.0,汽车,801880.SI
sh600654,1283020992.0,计算机,801750.SI
sh600655,1437321976.0,商业贸易,801200.SI
sh600657,1524260442.0,房地产,801180.SI
sh600658,798989318.0,房地产,801180.SI
sh600660,2508617532.0,汽车,801880.SI
sh600661,286548830.0,传媒,801760.SI
sh600662,1053362191.0,交通运输,801170.SI
sh600663,3361831200.0,房地产,801180.SI
sh600664,2541243276.0,医药生物,801150.SI
sh600665,864122521.0,房地产,801180.SI
sh600666,1227326240.0,电子,801080.SI
sh600667,2106190178.0,建筑装饰,801720.SI
sh600668,344083828.0,建筑材料,801710.SI
sh600671,121778885.0,医药生物,801150.SI
sh600673,2468873909.0,有色金属,801050.SI
sh600674,4402140480.0,公用事业,801160.SI
sh600675,1867059398.0,房地产,801180.SI
sh600676,1028492944.0,汽车,801880.SI
sh600677,521791700.0,国防军工,801740.SI
sh600678,348990000.0,建筑材料,801710.SI
sh600679,402198947.0,汽车,801880.SI
sh600680,382225337.0,通信,801770.SI
sh600681,964157472.0,公用事业,801160.SI
sh600682,1111974472.0,商业贸易,801200.SI
sh600683,740777597.0,房地产,801180.SI
