Code,TOTAL_SHARES,Industry
sz000786,1788579717.0,建筑材料
sz000788,595987425.0,医药生物
sz000789,613364368.0,建筑材料
sz000790,431021374.0,医药生物
sz000791,971126200.0,公用事业
sz000792,2786090601.0,化工
sz000793,2001294740.0,传媒
sz000795,1133684103.0,有色金属
sz000796,803000258.0,休闲服务
sz000797,999596140.0,房地产
sz000798,319455000.0,农林牧渔
sz000799,324928980.0,食品饮料
sz000800,1627500000.0,汽车
sz000801,1022806646.0,家用电器
sz000802,726250255.0,传媒
sz000803,127730893.0,房地产
sz000806,1099911762.0,电气设备
sz000807,2606838797.0,有色金属
sz000809,824791293.0,房地产
sz000810,1034558280.0,家用电器
sz000811,653054151.0,机械设备
sz000812,447375651.0,轻工制造
sz000813,2241481800.0,有色金属
sz000815,695263035.0,轻工制造
sz000816,1418803318.0,机械设备
sz000818,691643440.0,化工
sz000819,271338100.0,化工
sz000820,637245222.0,公用事业
sz000821,477732636.0,机械设备
sz000822,895091926.0,化工
sz000823,536966000.0,电子
sz000825,5696247796.0,钢铁
sz000826,1021841989.0,公用事业
sz000828,1039516992.0,交通运输
sz000829,959313496.0,商业贸易
sz000830,1464860778.0,化工
sz000831,980888981.0,有色金属
sz000833,668401851.0,综合
sz000835,326760374.0,传媒
sz000836,1208455224.0,通信
sz000837,693370910.0,机械设备
sz000838,1100462170.0,房地产
sz000839,3919826352.0,综合
sz000848,978562728.0,食品饮料
sz000850,943665009.0,纺织服装
sz000851,650825028.0,通信
sz000852,598157690.0,机械设备
sz000856,227000000.0,机械设备
sz000858,3795966720.0,食品饮料
sz000859,739449730.0,化工
sz000860,570589992.0,食品饮料
sz000861,2249873659.0,商业贸易
sz000862,706118997.0,公用事业
sz000863,1381752594.0,休闲服务
sz000868,695565603.0,汽车
sz000869,685464000.0,食品饮料
sz000875,2146313980.0,公用事业
sz000876,4216015009.0,农林牧渔
sz000877,880101259.0,建筑材料
sz000878,1416398800.0,有色金属
sz000880,276100500.0,机械设备
sz000881,1055597987.0,综合
sz000882,2737351947.0,商业贸易
sz000883,6507449486.0,公用事业
sz000885,496381983.0,建筑材料
sz000886,988828300.0,交通运输
sz000887,1234440095.0,汽车
sz000888,526913102.0,休闲服务
sz000889,621826786.0,通信
sz000890,379641600.0,机械设备
sz000892,980980473.0,传媒
sz000893,756903272.0,农林牧渔
sz000895,3299558284.0,食品饮料
sz000897,1617272234.0,房地产
sz000898,7234807847.0,钢铁
sz000899,975677760.0,公用事业
sz000900,1517828334.0,交通运输
sz000901,409460479.0,机械设备
sz000902,1304529290.0,化工
sz000903,1757537138.0,汽车
sz000905,531000000.0,交通运输
sz000906,510812469.0,商业贸易
sz000908,879774351.0,医药生物
sz000909,312352464.0,房地产
sz000910,555390000.0,轻工制造
sz000911,324080937.0,农林牧渔
sz000912,585000000.0,化工
sz000913,453536000.0,汽车
sz000915,234331485.0,医药生物
sz000916,1090000000.0,交通运输
sz000917,1417556338.0,传媒
sz000918,1804191500.0,房地产
sz000919,504000000.0,医药生物
sz000920,422000000.0,公用事业
sz000921,1362725370.0,家用电器
sz000922,543667277.0,电气设备
sz000923,652728961.0,机械设备
sz000925,392925733.0,机械设备
sz000926,949322474.0,房地产
sz000927,1595174020.0,汽车
sz000928,1256662942.0,建筑装饰
sz000929,185766000.0,食品饮料
sz000930,964411115.0,农林牧渔
sz000931,753126982.0,综合
sz000932,3015650025.0,钢铁
